# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
247.355987549 329.645213373 249.063296361 0.022380978 0.016909938
313.959136963 42.351997253 44.330835481 0.002875452 0.003009804
315.358245850 13.551104892 12.335615474 0.000920041 0.000837516
315.499237061 13.405115893 11.379072395 0.000910129 0.000772572
315.629364014 13.230255400 10.896058108 0.000898257 0.000739778
315.770355225 13.460770269 10.734931830 0.000913907 0.000728839
316.312652588 11.990517399 9.693620205 0.000814086 0.000658140
316.583801270 11.379146522 10.139018622 0.000772577 0.000688380
317.104370117 11.077982663 11.946442298 0.000752130 0.000811093
317.364685059 11.354512790 9.786325842 0.000770905 0.000664434
317.874420166 11.468710086 12.170740184 0.000778658 0.000826322
325.986968994 13.034031829 11.391588435 0.000884934 0.000773422
326.149658203 11.594327322 7.425300048 0.000787187 0.000504134
326.182189941 11.391888099 7.276107457 0.000773442 0.000494005
326.323181152 12.167226694 11.095064542 0.000826083 0.000753290
326.431640625 11.600814102 7.873673083 0.000787627 0.000534576
326.778717041 11.221225452 8.656319430 0.000761855 0.000587713
327.104064941 12.302167154 10.822351314 0.000835245 0.000734774
327.223388672 11.083531711 11.273903085 0.000752507 0.000765432
327.245056152 11.959180534 9.029788641 0.000811958 0.000613070
327.527069092 11.769513572 11.364495345 0.000799081 0.000771583
327.602966309 12.132891012 7.898464442 0.000823752 0.000536259
327.711425781 12.955142380 11.214726486 0.000879578 0.000761414
327.765655518 13.072962099 11.067950458 0.000887578 0.000751449
327.798187256 13.018509597 11.492662832 0.000883880 0.000780284
327.874114990 11.549164886 11.447963217 0.000784121 0.000777250
327.906646729 12.412208336 10.955323893 0.000842716 0.000743802
328.036804199 12.283527082 11.423427595 0.000833979 0.000775584
328.080169678 11.211450132 11.045175875 0.000761192 0.000749903
328.177795410 13.100124342 9.830387841 0.000889422 0.000667426
328.242858887 12.630033230 8.504821755 0.000857505 0.000577428
328.275390625 12.250934233 8.323525661 0.000831767 0.000565119
328.307952881 11.233263861 12.298697341 0.000762673 0.000835009
328.394714355 12.566288946 10.675297364 0.000853177 0.000724790
328.416412354 11.159603898 11.722449935 0.000757672 0.000795886
328.470642090 13.840475103 12.664452851 0.000939687 0.000859842
328.492309570 13.522066401 11.117175297 0.000918069 0.000754791
328.557403564 11.964148374 9.973249590 0.000812296 0.000677125
328.600769043 11.529430380 11.267580796 0.000782781 0.000765003
328.676696777 12.872674454 10.077388209 0.000873979 0.000684196
330.151702881 14.056654832 13.336593642 0.000954364 0.000905477
330.184234619 13.336129088 14.582234183 0.000905445 0.000990048
330.433685303 11.295768999 15.575861192 0.000766917 0.001057510
330.477081299 11.669641801 12.431865046 0.000792300 0.000844051
330.563842773 11.737889744 11.174883704 0.000796934 0.000758709
330.683135986 11.344262677 12.846006255 0.000770209 0.000872169
330.748199463 14.746230865 15.793667632 0.001001183 0.001072297
331.041046143 11.222843839 14.745009925 0.000761965 0.001001100
331.106109619 12.147421947 10.953359579 0.000824739 0.000743669
331.268798828 12.430142072 12.690375511 0.000843934 0.000861602
331.355560303 12.522061687 15.601314312 0.000850175 0.001059238
331.398956299 11.848855459 13.369958019 0.000804468 0.000907742
331.518249512 12.848086646 12.157976306 0.000872310 0.000825455
331.615875244 11.290186244 14.431867513 0.000766537 0.000979839
331.670104980 13.173781121 14.348845668 0.000894423 0.000974203
331.724334717 14.158180546 14.746282961 0.000961257 0.001001186
331.821929932 12.607356695 10.092278496 0.000855966 0.000685207
331.962921143 13.024613530 14.232778170 0.000884295 0.000966322
331.995452881 14.093719653 16.550280047 0.000956881 0.001123667
332.038848877 14.919681387 15.239082840 0.001012959 0.001034644
332.071380615 13.821013500 15.568888651 0.000938366 0.001057036
332.158142090 12.382483779 11.972314156 0.000840698 0.000812850
