# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
98.880000000 -3.629827193 3.081951257 -0.000172199 0.000146208
98.890845625 -3.870959817 1.540520471 -0.000183639 0.000073082
98.901691250 -1.207189807 1.978621270 -0.000057269 0.000093866
98.912536875 0.519193603 2.809893530 0.000024631 0.000133302
98.923382500 0.932515208 3.687992836 0.000044239 0.000174959
98.934228125 -0.842171641 4.772928410 -0.000039953 0.000226428
98.945073750 -2.805801983 1.299172283 -0.000133107 0.000061633
98.955919375 -3.597421622 1.704137080 -0.000170662 0.000080844
98.966765000 -2.043357411 2.456802336 -0.000096937 0.000116551
98.977610625 -2.722309440 1.364849728 -0.000129147 0.000064749
98.988456250 -2.263311839 0.537771076 -0.000107372 0.000025512
98.999301875 1.288938095 1.798856531 0.000061147 0.000085338
99.010147501 0.576544460 3.073358930 0.000027351 0.000145800
99.020993126 -0.161628330 4.483138638 -0.000007668 0.000212680
99.031838751 0.726191237 4.174276964 0.000034451 0.000198028
99.042684376 -2.268414366 2.134104033 -0.000107614 0.000101242
99.053530001 -3.615969364 3.394408024 -0.000171542 0.000161031
99.064375626 -0.062161121 1.863132089 -0.000002949 0.000088387
99.075221251 1.094157989 1.446291421 0.000051907 0.000068612
99.086066876 1.249449057 1.463279223 0.000059274 0.000069418
99.096912501 0.361301952 2.504567661 0.000017140 0.000118817
99.107758126 0.024368013 2.564784383 0.000001156 0.000121674
99.118603751 -0.052782519 3.569995837 -0.000002504 0.000169361
99.129449376 0.169187442 7.130748375 0.000008026 0.000338283
99.140295001 -0.341625339 2.677340061 -0.000016207 0.000127013
99.151140626 -0.504283246 3.215118898 -0.000023923 0.000152525
99.161986251 0.383408979 1.174232140 0.000018189 0.000055706
99.172831876 -0.371730528 1.107834971 -0.000017635 0.000052556
99.183677501 -1.552348005 1.779769930 -0.000073643 0.000084432
99.194523126 -2.884269558 3.170780064 -0.000136830 0.000150422
99.205368751 -0.759831531 2.559556392 -0.000036046 0.000121426
99.216214376 0.146346990 2.107210687 0.000006943 0.000099966
99.227060001 -3.183430251 3.794888157 -0.000151022 0.000180030
99.237905626 -5.061515896 1.344363228 -0.000240119 0.000063777
99.248751251 -3.948556025 1.231276104 -0.000187320 0.000058412
99.259596876 2.934752214 2.858065827 0.000139225 0.000135587
99.270442502 -0.500566771 1.159350011 -0.000023747 0.000055000
99.281288127 -3.620678989 3.340501650 -0.000171765 0.000158474
99.292133752 -0.955778904 2.686548962 -0.000045342 0.000127450
99.302979377 1.166122383 2.271690552 0.000055321 0.000107769
99.313825002 2.125233352 0.887336217 0.000100821 0.000042095
99.324670627 0.793647941 1.612752669 0.000037651 0.000076509
99.335516252 -1.439445552 3.844580156 -0.000068287 0.000182387
99.346361877 -2.643968296 5.164992531 -0.000125430 0.000245028
99.357207502 -1.090295290 3.589606215 -0.000051724 0.000170291
99.368053127 -1.869517355 1.021162108 -0.000088690 0.000048444
99.378898752 -2.450155468 0.747487262 -0.000116236 0.000035461
99.389744377 -1.339549616 0.990341528 -0.000063548 0.000046982
99.400590002 -0.587980475 1.530758276 -0.000027894 0.000072619
99.411435627 -0.600826645 1.931195131 -0.000028503 0.000091616
99.422281252 -2.153645160 2.248137392 -0.000102169 0.000106652
99.433126877 2.723815622 1.642219140 0.000129218 0.000077907
99.443972502 4.845736970 1.855251806 0.000229882 0.000088013
99.454818127 -2.923156611 0.772494441 -0.000138675 0.000036647
99.465663752 -2.854159664 1.118237209 -0.000135402 0.000053049
99.476509377 -0.923192137 1.692794182 -0.000043796 0.000080306
99.487355002 0.852935995 1.091636871 0.000040463 0.000051787
99.498200627 -1.103750722 2.048528360 -0.000052362 0.000097182
99.509046252 -1.991980270 2.254294195 -0.000094500 0.000106944
99.519891877 1.780198041 1.336585211 0.000084453 0.000063408
99.530737503 -0.297811816 2.657709873 -0.000014128 0.000126082
99.541583128 -1.931010181 3.742818271 -0.000091607 0.000177560
