# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
248.368150571 202.853622938 38.518205813 0.015783218 0.002996945
308.724053928 10.034110164 1.647785975 0.000780713 0.000128208
311.804211440 10.366979933 2.928048168 0.000806613 0.000227820
314.960288327 23.133990590 5.640451978 0.001799962 0.000438861
315.014516452 21.596756568 9.469955367 0.001680356 0.000736819
315.047053327 16.118838490 6.644476970 0.001254141 0.000516980
315.090435827 15.594060522 2.649357455 0.001213311 0.000206136
315.274811453 10.037932970 2.471475196 0.000781011 0.000192295
315.882166455 9.892110301 3.563767298 0.000769665 0.000277282
316.337682707 10.321676977 5.057660530 0.000803088 0.000393516
316.804044584 11.767767554 2.545418208 0.000915602 0.000198049
317.292097711 11.493758258 1.638305868 0.000894283 0.000127470
318.691183341 11.010973059 5.042136023 0.000856719 0.000392308
319.005706467 10.480666408 2.945855097 0.000815458 0.000229205
320.155342722 14.121939900 3.284144290 0.001098771 0.000255526
322.096709604 11.961572595 1.134607392 0.000930681 0.000088279
322.996896483 11.760445500 2.365425216 0.000915033 0.000184044
324.645431489 11.090234724 3.243383844 0.000862886 0.000252355
324.862343990 11.240214639 2.215398700 0.000874556 0.000172371
325.415470867 12.526884127 4.109677297 0.000974666 0.000319757
326.011980244 10.169485767 5.758133700 0.000791246 0.000448017
326.207201495 9.779250781 2.652125716 0.000760884 0.000206351
326.630180872 10.333270493 5.146779929 0.000803990 0.000400450
327.031468998 10.581533872 1.607277579 0.000823306 0.000125056
327.682206501 13.346302951 3.605989818 0.001038422 0.000280567
327.909964627 10.792048606 4.277863335 0.000839686 0.000332843
328.257024628 10.912107589 1.218478377 0.000849027 0.000094805
328.398017753 10.094869620 2.885925566 0.000785441 0.000224542
328.951144631 10.414115307 3.068311103 0.000810280 0.000238733
328.994527131 12.979683336 1.304440058 0.001009897 0.000101493
329.048755256 10.217931563 1.342980273 0.000795016 0.000104492
329.319895882 11.643427360 4.302790269 0.000905928 0.000334783
329.623573383 9.926060611 1.775737605 0.000772307 0.000138163
329.699492758 10.616608715 4.988463208 0.000826035 0.000388132
330.133317760 10.536151460 1.055761237 0.000819775 0.000082145
330.306847761 10.237185338 7.724336724 0.000796514 0.000600999
330.643062137 15.090674032 4.617658941 0.001174144 0.000359281
330.697290262 9.796621154 2.757290404 0.000762235 0.000214534
330.859974638 9.870047208 5.351176885 0.000767948 0.000416353
330.881665888 10.456053426 2.726608984 0.000813543 0.000212146
331.131115264 9.683788175 3.551941737 0.000753456 0.000276362
331.185343389 11.773137297 4.001111245 0.000916020 0.000311310
331.380564640 11.515059056 2.901079419 0.000895940 0.000225721
331.423947140 12.133905863 3.587844540 0.000944090 0.000279156
331.467329640 13.409886855 4.409396464 0.001043369 0.000343077
331.521557765 11.745295857 3.213704477 0.000913854 0.000250045
331.554094641 11.140674373 3.878550277 0.000866811 0.000301774
331.575785891 11.457045550 3.316174911 0.000891426 0.000258018
331.608322766 10.191516586 2.224869157 0.000792961 0.000173108
331.716779016 11.636907900 5.911280300 0.000905421 0.000459933
331.749315891 12.399244683 3.607250298 0.000964735 0.000280666
331.836080892 12.491951463 5.013524431 0.000971948 0.000390082
331.890309017 11.642216822 2.884101142 0.000905834 0.000224400
331.933691517 9.964683157 4.877517688 0.000775312 0.000379500
331.977074017 11.510397485 2.788201005 0.000895577 0.000216939
332.020456517 9.832548391 1.036667364 0.000765031 0.000080659
332.052993393 10.809757670 6.065842658 0.000841063 0.000471959
332.107221518 11.460360789 8.877759537 0.000891684 0.000690742
332.193986518 9.914737365 3.107878159 0.000771426 0.000241811
332.259060268 10.999125244 2.614101924 0.000855797 0.000203393
332.291597143 10.341841386 4.054796695 0.000804657 0.000315487
332.356670894 12.803112423 7.883333680 0.000996158 0.000613370
332.389207769 10.458518297 1.642847310 0.000813735 0.000127823
332.432590269 10.501487006 4.469770001 0.000817078 0.000347775
332.519355269 11.415730170 2.143014227 0.000888212 0.000166739
332.562737769 11.202077993 3.724781376 0.000871588 0.000289810
332.627811520 10.620458894 5.284279370 0.000826335 0.000411148
332.692885270 9.664227141 2.538147218 0.000751934 0.000197483
332.747113395 14.874127994 5.430142964 0.001157296 0.000422497
332.779650270 11.395047908 3.012752445 0.000886602 0.000234410
332.844724021 11.534228968 5.986511765 0.000897432 0.000465786
332.898952146 12.843428102 3.070346750 0.000999295 0.000238891
332.942334646 13.002713460 4.329755514 0.001011688 0.000336881
332.974871521 12.146159363 5.468497950 0.000945043 0.000425482
333.039945271 15.212572745 1.907801596 0.001183629 0.000148438
333.115864647 13.540195228 6.438656062 0.001053508 0.000500966
333.137555897 9.982564147 1.393748419 0.000776703 0.000108442
333.170092772 9.809150345 4.413994708 0.000763210 0.000343435
333.224320897 12.701876646 3.561050182 0.000988282 0.000277071
333.300240272 11.997015332 4.030608152 0.000933439 0.000313605
333.343622772 11.163682137 5.530678375 0.000868601 0.000430320
333.441233398 13.622514011 6.846012762 0.001059913 0.000532661
333.495461523 10.486205113 8.601707876 0.000815889 0.000669264
333.538844023 11.186596979 5.405731747 0.000870384 0.000420598
333.593072148 10.535660189 4.465717708 0.000819737 0.000347459
333.668991524 13.185154533 4.543674877 0.001025883 0.000353525
333.755756524 11.977057527 6.989425764 0.000931886 0.000543819
333.853367149 10.197187417 1.591721349 0.000793402 0.000123845
333.896749650 11.027867558 1.823240501 0.000858034 0.000141859
333.950977775 11.863657633 7.594895383 0.000923063 0.000590928
333.994360275 16.387473331 2.203072029 0.001275043 0.000171412
334.048588400 13.835422820 3.856320554 0.001076478 0.000300045
334.091970900 12.303587593 2.967455327 0.000957292 0.000230886
334.113662150 11.355615690 4.618609243 0.000883534 0.000359355
334.146199026 12.190222917 4.482052479 0.000948472 0.000348730
334.189581526 12.311905303 5.316587483 0.000957939 0.000413662
334.232964026 11.964642714 6.377154428 0.000930920 0.000496181
334.265500901 10.467098097 6.604272377 0.000814402 0.000513852
334.319729026 12.447136066 2.707810480 0.000968461 0.000210684
334.363111526 14.390497913 4.596054817 0.001119666 0.000357600
334.384802776 11.681489815 7.556536567 0.000908889 0.000587943
334.449876527 12.685955543 5.982924999 0.000987043 0.000465507
334.504104652 14.834978350 3.757732337 0.001154250 0.000292374
334.558332777 10.796016666 6.405467745 0.000839994 0.000498383
334.590869652 12.674539938 5.453360928 0.000986155 0.000424304
334.645097777 13.748130808 4.110718991 0.001069686 0.000319838
334.677634653 11.995847514 5.311156386 0.000933348 0.000413240
334.731862778 14.098051260 6.417259562 0.001096912 0.000499301
334.796936528 11.455719310 8.349308003 0.000891323 0.000649626
334.829473403 13.091464568 1.886265438 0.001018594 0.000146763
334.872855903 16.082226119 4.090699132 0.001251293 0.000318281
334.916238404 15.922670980 6.119221738 0.001238878 0.000476112
334.948775279 14.349706775 5.640969586 0.001116493 0.000438901
334.981312154 13.375132478 6.911021709 0.001040665 0.000537719
335.013849029 11.953783071 8.930066201 0.000930075 0.000694812
335.035540279 12.461931430 3.452231981 0.000969612 0.000268604
335.089768404 13.253665480 6.270960823 0.001031214 0.000487918
335.122305279 15.829600348 7.785645351 0.001231637 0.000605770
335.187379030 14.992431209 2.202857284 0.001166500 0.000171395
