# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
100.216912501 2.409126350 3.367081251 0.000880487 0.001230600
100.368751251 2.811542093 7.171193573 0.001027562 0.002620926
100.466361877 2.456982155 2.958750233 0.000897977 0.001081363
100.553126877 3.123837333 2.429729183 0.001141699 0.000888017
100.629046252 4.436410117 2.485118406 0.001621418 0.000908260
100.737502503 2.119495210 2.852007050 0.000774633 0.001042351
100.791730628 2.536358268 0.789884566 0.000926988 0.000288687
100.932723754 3.155604221 1.185235292 0.001153309 0.000433180
100.997797504 2.298345490 4.052188037 0.000839999 0.001480993
101.193018755 3.026834395 4.155736638 0.001106247 0.001518838
101.334011880 5.077194050 2.412724849 0.001855612 0.000881802
101.507541881 2.696435571 3.479961501 0.000985493 0.001271855
101.605152506 3.787781110 2.462026656 0.001384357 0.000899821
101.648535006 5.093503608 6.850373178 0.001861572 0.002503673
101.930521257 2.718890558 3.307580817 0.000993699 0.001208854
102.006440633 2.239422475 3.970245327 0.000818464 0.001451044
102.071514383 4.439085585 6.660237138 0.001622396 0.002434182
102.190816258 3.133989623 0.806135982 0.001145410 0.000294626
102.396883134 4.809039307 2.384236070 0.001757607 0.000871390
102.483648135 3.843927587 4.744492416 0.001404878 0.001734016
102.505339385 2.323667438 2.083964843 0.000849253 0.000761647
102.570413135 4.347305315 2.145538619 0.001588852 0.000784151
102.733097511 2.329520472 3.223970522 0.000851393 0.001178296
102.852399386 3.738637594 2.259034213 0.001366396 0.000825631
102.928318761 3.786525770 2.127512379 0.001383899 0.000777563
103.166922512 2.075468640 1.482073015 0.000758542 0.000541668
103.210305012 2.835567063 0.907125234 0.001036342 0.000331536
103.275378763 2.681296747 3.282201299 0.000979960 0.001199578
103.318761263 2.494029741 1.692139358 0.000911517 0.000618443
103.470600013 3.005354530 0.830536992 0.001098396 0.000303544
103.622438764 4.214852342 3.289875204 0.001540443 0.001202383
103.654975639 3.859368213 2.037622536 0.001410521 0.000744710
103.730895014 2.764622586 1.474207473 0.001010414 0.000538793
103.785123140 3.081822594 3.398025189 0.001126344 0.001241909
103.828505640 2.969652170 3.461283933 0.001085348 0.001265029
104.023726890 2.212744754 4.610039432 0.000808713 0.001684876
104.121337516 2.507075862 3.200692600 0.000916285 0.001169788
104.349095642 2.300900440 4.370347594 0.000840933 0.001597274
104.457551892 2.448591298 1.773645193 0.000894911 0.000648231
104.609390643 5.114002441 3.523998732 0.001869064 0.001287950
104.674464393 2.903354360 6.184626905 0.001061117 0.002260356
104.869685644 4.308563443 2.595763888 0.001574693 0.000948699
104.945605019 3.614887639 5.309467708 0.001321168 0.001940503
105.032370019 2.314530261 0.472637236 0.000845914 0.000172739
105.249282520 3.339611304 2.809486275 0.001220560 0.001026810
105.433658146 2.832913052 2.627849326 0.001035372 0.000960426
105.618033772 2.623670051 5.281855053 0.000958898 0.001930411
105.813255022 2.565766003 1.155596874 0.000937736 0.000422347
105.878328773 4.706530354 2.346850168 0.001720142 0.000857726
106.084395648 6.228490433 1.993476907 0.002276387 0.000728575
106.116932524 4.352284181 3.179229525 0.001590672 0.001161944
