# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
99.024000000 0.114998034 2.179884673 0.000042029 0.000796704
99.034845625 -0.567189598 2.120435678 -0.000207296 0.000774976
99.045691250 -2.121040085 3.353413995 -0.000775197 0.001225605
99.056536875 -0.115628901 1.733814363 -0.000042260 0.000633674
99.067382500 1.255863780 0.819181281 0.000458993 0.000299394
99.078228125 0.146684339 3.773717104 0.000053610 0.001379217
99.089073750 -1.337496306 1.300509186 -0.000488828 0.000475310
99.099919375 -2.438943256 0.689055768 -0.000891384 0.000251836
99.110765000 -2.660311727 1.967806768 -0.000972290 0.000719194
99.121610625 -1.022211409 2.134602105 -0.000373598 0.000780154
99.132456250 -0.070851443 2.237958644 -0.000025895 0.000817929
99.143301875 -1.180941832 2.643872385 -0.000431610 0.000966282
99.154147501 -3.217879163 0.961863228 -0.001176070 0.000351542
99.164993126 -4.325683112 1.237495033 -0.001580950 0.000452279
99.175838751 -3.215908312 2.967697986 -0.001175349 0.001084634
99.186684376 -0.996269632 0.138012370 -0.000364116 0.000050441
99.197530001 0.415898493 2.416016452 0.000152002 0.000883005
99.208375626 -0.252297554 2.263277841 -0.000092210 0.000827182
99.219221251 -4.048815428 2.595893679 -0.001479760 0.000948747
99.230066876 -4.695078135 1.889234966 -0.001715956 0.000690477
99.240912501 2.409126350 3.367081251 0.000880487 0.001230600
99.251758126 0.145991204 1.771160306 0.000053357 0.000647323
99.262603751 -2.334361228 0.333729238 -0.000853162 0.000121971
99.273449376 -1.224511011 1.580405895 -0.000447534 0.000577606
99.284295001 0.252185520 0.478533996 0.000092169 0.000174894
99.295140626 0.440021740 1.768882975 0.000160819 0.000646491
99.305986251 -2.223054643 5.502625832 -0.000812481 0.002011098
99.316831876 -1.053476768 1.308519118 -0.000385024 0.000478237
99.327677501 0.373955877 2.235702692 0.000136673 0.000817104
99.338523126 0.595657991 4.710195652 0.000217701 0.001721481
99.349368751 -1.729045303 4.141032929 -0.000631931 0.001513464
99.360214376 -2.989143138 1.813370910 -0.001092471 0.000662750
99.371060001 -0.769291435 2.223759579 -0.000281160 0.000812739
99.381905626 1.632925928 5.960298075 0.000596801 0.002178368
99.392751251 2.811542093 7.171193573 0.001027562 0.002620926
99.403596876 1.257246605 1.805550879 0.000459498 0.000659892
99.414442502 -0.478968476 0.390630615 -0.000175053 0.000142768
99.425288127 -0.999002002 0.701791571 -0.000365115 0.000256491
99.436133752 1.221139790 4.516608098 0.000446302 0.001650729
99.446979377 0.192123262 5.380461015 0.000070217 0.001966450
99.457825002 -0.960913142 4.346987330 -0.000351194 0.001588736
99.468670627 -0.738855628 1.968390250 -0.000270037 0.000719407
99.479516252 1.823582796 1.839796222 0.000666483 0.000672408
