# X Normalized_Averaged_Y Std_Dev_Y
247.854855733 0.380106330 0.345560096
386.138249607 0.315311597 0.196636459
387.093153403 0.479675829 0.292441509
388.292334914 0.808740125 0.485581488
471.480000476 0.320599341 0.203413992
473.656292848 0.324323543 0.204900292
500.948775756 0.319317882 0.070275150
501.370709992 0.380103572 0.089727358
502.569891503 0.328798338 0.078041038
502.991825738 0.363221520 0.081762907
503.769073014 0.432240822 0.093673838
504.124386054 0.404948193 0.090843820
504.524113224 0.399234524 0.087517463
505.256946370 0.384998100 0.084675193
505.612259410 0.405487500 0.086499403
505.989779516 0.365319116 0.071435073
506.322885491 0.401238518 0.082024133
506.678198531 0.453510638 0.092798812
506.989097441 0.495543232 0.108556046
507.344410482 0.426404983 0.090297694
507.522067002 0.307619754 0.070679154
507.655309392 0.435406791 0.093482460
507.988415367 0.617596034 0.130234234
508.299314278 0.496791701 0.105146060
508.476970798 0.322871723 0.069720923
508.610213188 0.451926723 0.097389601
508.921112098 0.630074382 0.130133325
509.209803943 0.466600102 0.101503220
509.387460463 0.304582864 0.065890641
509.520702854 0.552416110 0.111209514
509.676152309 0.310197407 0.068392129
509.809394699 0.475887852 0.095607467
509.964844154 0.407890334 0.094416902
510.075879479 0.489736363 0.106123932
510.364571324 0.456812914 0.094506811
510.520020779 0.316512614 0.068670464
510.631056105 0.513546461 0.109324412
510.786505560 0.316117496 0.069529297
510.897540885 0.440232972 0.094772190
511.164025665 0.469015461 0.093073279
511.297268055 0.364396628 0.095978113
511.408303380 0.446199054 0.142614977
511.563752835 0.317137035 0.139616538
511.674788160 0.397699638 0.221155864
512.141136526 0.301300226 0.236464553
512.518656631 0.313138624 0.249107774
512.607484891 0.368834497 0.288707857
512.807348476 0.429774598 0.334457896
512.896176737 0.367501237 0.286983096
514.117565313 0.308467914 0.244942066
514.894812588 0.329191624 0.258951368
515.050262043 0.343381611 0.270626977
515.161297368 0.304050151 0.238442153
515.316746824 0.361129524 0.285089859
515.427782149 0.317299698 0.250182835
515.649852799 0.337058915 0.263900553
515.760888124 0.313237361 0.246212113
515.849716384 0.328830574 0.258405650
515.938544644 0.301711181 0.237155627
516.093994099 0.370237167 0.289520272
516.160615294 0.349680031 0.272263259
516.271650619 0.410259276 0.317529255
516.471514205 1.000000000 0.717813841
558.487281221 0.403264385 0.204314722
563.483870850 0.375853698 0.188927242
