# X Normalized_Averaged_Y Std_Dev_Y
100.000000000 -0.000156413 1.969951500
100.022207065 -0.000002984 2.561864946
100.044414130 0.000178065 6.305411086
100.066621195 0.000226284 2.233336270
100.088828260 0.000131554 4.042643198
100.111035325 -0.000190196 4.668624132
100.133242390 -0.000154502 0.945497498
100.155449455 -0.000082684 2.157715058
100.177656520 -0.000062573 0.301667800
100.199863585 -0.000182068 1.260412040
100.222070650 -0.000193460 3.261989902
100.244277715 0.000007642 7.270408878
100.266484780 0.000047831 5.220780728
100.288691845 0.000027729 1.589902899
100.310898910 -0.000052731 4.146981740
100.333105975 -0.000243079 3.049269457
100.355313040 -0.000350958 1.548644185
100.377520105 -0.000330877 1.120477798
100.399727170 -0.000085810 2.360756144
100.421934235 -0.000073720 2.739123689
100.444141300 -0.000375474 3.333431220
100.466348365 -0.000370241 2.663996563
100.488555430 -0.000275410 2.608011433
100.510762495 -0.000094440 4.171052423
100.532969560 -0.000070250 1.276342529
100.555176625 -0.000079465 1.766159837
100.577383690 -0.000119685 7.111078546
100.599590756 -0.000079718 1.625115907
100.621797821 -0.000121187 1.874657974
100.644004886 -0.000236643 0.868983944
100.666211951 -0.000075739 3.100003030
100.688419016 -0.000127783 2.346150097
100.710626081 -0.000353784 6.608980382
100.732833146 -0.000212994 4.802549615
100.755040211 -0.000183040 3.949536733
100.777247276 -0.000239646 5.090021506
100.799454341 -0.000239621 2.739290455
100.821661406 -0.000112885 0.201650706
100.843868471 0.000073005 2.634131172
100.866075536 -0.000128190 1.836220475
100.888282601 -0.000257559 0.902259785
100.910489666 -0.000327385 2.559835144
100.932696731 -0.000307207 3.133433328
100.954903796 -0.000088697 1.955905716
100.977110861 0.000173795 5.689184338
100.999317926 -0.000107811 3.616447969
101.021524991 -0.000042698 3.143362400
101.043732056 0.000077474 2.467005406
101.065939121 -0.000606421 0.831378529
101.088146186 -0.000599519 1.305384669
101.110353251 -0.000268496 4.026315553
101.132560316 -0.000087468 3.599221138
101.154767381 -0.000043690 3.208179343
101.176974446 -0.000083282 1.996443083
101.199181511 -0.000203964 5.480974993
101.221388576 -0.000267985 3.101373376
101.243595641 -0.000290886 1.881847885
101.265802706 -0.000250661 3.199351698
101.288009771 -0.000283487 1.723464416
101.310216836 -0.000296078 5.588284989
101.332423901 -0.000155259 2.834098584
101.354630966 -0.000134884 0.399840352
101.376838031 -0.000149777 3.954302968
101.399045096 -0.000149779 3.065980451
101.421252161 -0.000180797 0.807264488
101.443459226 -0.000249375 1.514043865
101.465666291 -0.000390202 2.480525250
101.487873356 -0.000307717 1.420772783
101.510080421 -0.000148509 1.555982742
101.532287486 0.000052629 2.951345031
101.554494551 -0.000074120 2.031804817
101.576701616 -0.000216259 2.220945618
101.598908681 -0.000236376 1.383364185
101.621115746 -0.000307039 2.971198755
101.643322811 -0.000247220 3.943388515
101.665529876 0.000074712 3.695305748
101.687736941 0.000033323 2.341239683
101.709944006 -0.000059796 1.639477035
101.732151071 -0.000140310 1.788586230
101.754358137 -0.000362769 4.705611853
101.776565202 -0.000485468 4.076677649
101.798772267 -0.000425115 3.626273723
101.820979332 -0.000346571 2.532452392
101.843186397 -0.000165711 3.737977442
101.865393462 0.000156226 2.303786376
101.887600527 -0.000324005 3.278677504
101.909807592 -0.000523188 5.532636840
101.932014657 -0.000281774 8.477803732
