# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
225.700794233 10.959756598 3.463637790 0.000766803 0.000242335
225.852632984 15.146391251 3.791329388 0.001059722 0.000265262
225.928552359 16.463722959 4.007422771 0.001151890 0.000280381
226.015317360 15.484026922 1.867227187 0.001083345 0.000130641
226.112927985 15.731931635 6.466097241 0.001100690 0.000452403
226.167156110 18.023896779 1.184711134 0.001261048 0.000082889
226.275612361 16.961324991 1.918115930 0.001186705 0.000134202
226.308149236 15.452459921 6.698992525 0.001081136 0.000468697
226.340686111 14.540523555 5.204921920 0.001017333 0.000364164
226.384068611 16.071915204 7.141121152 0.001124477 0.000499631
226.427451111 20.109746491 2.722513334 0.001406985 0.000190482
226.503370487 21.756445658 7.577766229 0.001522197 0.000530181
226.525061737 20.565845769 5.822070372 0.001438896 0.000407343
226.579289862 23.799437791 8.213220872 0.001665136 0.000574641
226.611826737 24.465591943 10.150711910 0.001711743 0.000710198
226.644363612 24.201074798 10.199985939 0.001693236 0.000713645
226.666054862 22.714723953 8.094214283 0.001589243 0.000566314
226.752819863 26.757561561 9.818702645 0.001872102 0.000686969
226.796202363 12.370912461 1.015647396 0.000865535 0.000071060
226.850430488 13.269273654 6.810246466 0.000928389 0.000476481
226.904658613 15.656525896 5.601471906 0.001095414 0.000391909
226.948041113 12.280267500 8.102085258 0.000859193 0.000566865
227.013114864 15.072863891 8.588962576 0.001054578 0.000600930
227.056497364 11.088716957 10.842122116 0.000775826 0.000758573
227.089034239 18.277604822 7.981682732 0.001278799 0.000558441
227.132416739 16.156842768 6.707189632 0.001130419 0.000469271
227.175799239 17.819737661 6.021674403 0.001246764 0.000421308
227.219181739 16.650299956 7.091444688 0.001164944 0.000496155
227.262564239 19.469670796 12.274085178 0.001362202 0.000858760
227.403557365 13.802663130 5.252237240 0.000965708 0.000367475
233.368651138 12.344038258 4.269981144 0.000863655 0.000298751
233.661483014 11.069602625 3.902680105 0.000774488 0.000273052
233.769939264 12.134913344 2.735394590 0.000849023 0.000191383
233.813321765 12.686078563 1.925362163 0.000887586 0.000134709
233.932623640 14.928339186 1.980601766 0.001044466 0.000138573
234.073616766 16.911302389 4.232200289 0.001183205 0.000296107
234.214609891 20.962006196 3.522643494 0.001466614 0.000246463
234.355603017 23.660072383 3.214913035 0.001655385 0.000224932
234.485750517 28.167206696 5.380084894 0.001970728 0.000376419
234.594206768 27.008122982 8.471519052 0.001889632 0.000592713
234.615898018 26.197419319 4.804884463 0.001832911 0.000336175
234.724354268 29.930365751 6.190513864 0.002094088 0.000433121
234.843656144 31.276547616 3.861623481 0.002188274 0.000270180
234.876193019 18.187567619 3.882573923 0.001272499 0.000271646
234.941266769 32.795422018 10.582259602 0.002294543 0.000740391
235.060568644 36.683803870 11.217040009 0.002566594 0.000784804
235.169024895 38.772986932 12.653022284 0.002712765 0.000885273
235.266635520 48.178660147 7.519936889 0.003370836 0.000526135
235.364246146 57.076826518 19.221748956 0.003993399 0.001344856
235.461856771 61.219787445 18.272425292 0.004283263 0.001278436
235.548621771 65.731128182 15.535989779 0.004598900 0.001086981
235.646232397 54.803541391 16.643355811 0.003834348 0.001164458
235.722151772 59.740869319 20.161250763 0.004179790 0.001410589
235.808916772 67.333597986 25.297776556 0.004711017 0.001769967
235.884836148 80.698819013 25.125650804 0.005646120 0.001757924
235.960755523 84.992974003 26.475869017 0.005946562 0.001852393
236.025829273 76.198556043 27.672437393 0.005331257 0.001936111
236.080057398 82.084443132 29.751310688 0.005743065 0.002081560
236.155976774 106.545820880 37.679220827 0.007454514 0.002636239
236.221050524 109.177924485 38.783787608 0.007638670 0.002713521
236.275278649 94.432338378 30.404430880 0.006606990 0.002127256
236.329506774 123.778626977 46.414705316 0.008660213 0.003247420
236.383734900 129.013048258 48.843132340 0.009026441 0.003417326
236.481345525 141.327195395 52.617634015 0.009888004 0.003681410
236.546419275 151.312772804 55.812121290 0.010586648 0.003904914
236.611493025 166.117661325 60.721139338 0.011622477 0.004248375
236.676566776 175.145196765 68.297622618 0.012254092 0.004778466
236.752486151 124.404306988 53.052426092 0.008703988 0.003711831
236.806714276 134.761281854 53.567703497 0.009428618 0.003747882
236.871788026 75.734598293 28.529991493 0.005298796 0.001996110
236.926016152 72.100237090 29.771755844 0.005044517 0.002082991
236.980244277 71.588454426 31.119681706 0.005008710 0.002177299
237.023626777 77.192010165 33.748912275 0.005400765 0.002361254
237.067009277 79.130184286 35.449209605 0.005536369 0.002480216
237.110391777 75.796370676 34.026967322 0.005303118 0.002380708
237.175465528 82.189790582 34.407067794 0.005750436 0.002407302
237.208002403 87.654707837 38.169031115 0.006132791 0.002670509
237.262230528 98.237212344 39.113072347 0.006873199 0.002736559
237.338149903 129.805578970 54.834379283 0.009081890 0.003836505
237.479143029 82.987342786 35.716594382 0.005806237 0.002498923
240.602683041 12.321631019 3.023259420 0.000862087 0.000211523
240.656911166 12.454842354 1.862373492 0.000871407 0.000130302
240.917206167 10.828890448 3.886485742 0.000757647 0.000271919
240.949743042 12.039880018 4.416388598 0.000842374 0.000308994
241.036508042 11.825999772 1.814840513 0.000827410 0.000126976
241.134118668 12.194569449 3.609148025 0.000853197 0.000252515
241.264266168 14.329247150 0.523551367 0.001002551 0.000036630
241.329339919 12.734660734 1.154589047 0.000890985 0.000080781
241.351031169 11.115805151 3.273663901 0.000777721 0.000229043
241.405259294 13.190920354 3.568718263 0.000922907 0.000249687
241.448641794 11.459999640 4.737140370 0.000801803 0.000331436
241.502869919 11.395394229 4.292079188 0.000797283 0.000300297
241.535406794 11.628393945 1.360419450 0.000813584 0.000095182
241.567943669 11.541991245 2.875460284 0.000807539 0.000201183
241.676399920 11.849178757 3.383447559 0.000829032 0.000236724
241.719782420 11.329299335 2.234113744 0.000792658 0.000156311
241.784856170 13.605325578 0.208379708 0.000951901 0.000014579
241.839084296 12.712520454 3.113056074 0.000889436 0.000217806
241.904158046 11.683279907 0.783749221 0.000817425 0.000054835
241.936694921 11.924087183 1.277090277 0.000834273 0.000089352
242.001768671 15.208466682 2.652358177 0.001064065 0.000185573
242.023459921 15.700924978 3.965973934 0.001098520 0.000277481
242.088533671 12.754740351 6.824390807 0.000892390 0.000477471
242.164453047 19.594504663 5.097024420 0.001370936 0.000356615
242.262063672 16.625352410 0.571659532 0.001163198 0.000039996
242.316291797 15.671759073 2.859086081 0.001096480 0.000200037
242.370519923 13.201409078 1.829960508 0.000923641 0.000128034
242.392211173 13.698836768 5.855427914 0.000958444 0.000409677
242.424748048 15.413476079 2.481663900 0.001078409 0.000173630
242.446439298 16.523323804 3.848063251 0.001156060 0.000269231
242.500667423 11.866829716 4.753148504 0.000830267 0.000332556
242.533204298 12.400787615 3.064075442 0.000867625 0.000214379
242.565741173 17.780068429 2.726619261 0.001243988 0.000190769
242.598278048 16.996776866 2.663866708 0.001189185 0.000186378
242.652506174 16.255671287 3.461826402 0.001137333 0.000242208
242.695888674 15.113910367 3.680800723 0.001057450 0.000257528
242.728425549 13.845824997 3.502670432 0.000968728 0.000245065
242.771808049 21.785616821 3.575432024 0.001524238 0.000250156
242.804344924 24.698054247 1.991050348 0.001728008 0.000139304
242.847727424 17.131771081 0.896061390 0.001198630 0.000062693
242.880264300 19.040365536 1.245476597 0.001332165 0.000087140
242.945338050 17.303145286 4.654354528 0.001210620 0.000325643
242.988720550 26.482556101 2.632878497 0.001852861 0.000184210
243.064639925 21.194128489 4.672799249 0.001482854 0.000326934
243.108022425 13.095121783 5.536878553 0.000916205 0.000387390
243.194787426 25.696675970 0.529374497 0.001797876 0.000037038
243.238169926 19.566338101 5.541149419 0.001368965 0.000387688
243.292398051 21.785188765 0.867584180 0.001524208 0.000060701
243.335780551 25.352068321 6.713340189 0.001773766 0.000469701
243.379163051 25.101071949 4.788254424 0.001756205 0.000335012
243.422545552 24.683089943 3.401526022 0.001726961 0.000237989
243.455082427 25.019111491 3.540588492 0.001750470 0.000247718
243.531001802 38.461779506 3.200913312 0.002690991 0.000223953
243.617766802 30.900326193 3.763408612 0.002161952 0.000263308
243.682840553 32.086383868 3.220555878 0.002244934 0.000225327
243.715377428 30.492330828 4.386574407 0.002133406 0.000306908
243.758759928 29.032047009 2.771360069 0.002031237 0.000193899
243.834679303 41.179746971 4.887709158 0.002881155 0.000341970
243.910598679 38.007182947 4.930109657 0.002659185 0.000344937
243.975672429 31.986439806 4.956029659 0.002237942 0.000346750
244.019054929 42.809709367 2.336125630 0.002995195 0.000163448
244.094974304 39.713962918 2.574475231 0.002778601 0.000180124
244.192584930 47.215680656 2.696462833 0.003303461 0.000188659
244.268504305 45.144114680 2.427009368 0.003158523 0.000169807
244.344423680 57.227170075 6.644950318 0.004003918 0.000464916
244.452879931 38.282617279 4.224785107 0.002678456 0.000295588
244.517953681 46.020429154 4.854309997 0.003219835 0.000339633
244.561336181 25.469671329 2.683632221 0.001781994 0.000187761
244.604718681 28.149178080 3.503666770 0.001969467 0.000245135
244.669792431 48.018862977 4.100223679 0.003359656 0.000286874
244.789094307 44.302517996 5.655396316 0.003099640 0.000395682
244.821631182 52.456984367 8.945891118 0.003670170 0.000625902
244.930087432 46.020351465 4.096855781 0.003219829 0.000286638
244.973469933 51.748169560 8.694711943 0.003620578 0.000608328
245.016852433 35.441623490 8.087468309 0.002479685 0.000565842
245.081926183 56.575413279 6.060532640 0.003958317 0.000424027
245.157845558 28.656007939 4.200185333 0.002004927 0.000293867
245.233764934 53.235234544 3.238949489 0.003724621 0.000226614
245.287993059 29.138295610 1.195480524 0.002038670 0.000083642
245.374758059 56.104326958 3.774729775 0.003925358 0.000264100
245.439831809 30.521005784 1.830026614 0.002135412 0.000128038
245.515751185 55.888415205 2.944834201 0.003910251 0.000206036
245.645898685 50.157811838 7.983100355 0.003509308 0.000558540
245.732663686 60.128692675 2.160512110 0.004206924 0.000151161
245.862811186 72.904400815 3.808595358 0.005100780 0.000266470
245.927884936 49.197552824 4.458192020 0.003442123 0.000311919
245.982113061 72.620046887 5.432101458 0.005080886 0.000380059
246.068878062 75.128459390 2.318031007 0.005256387 0.000162182
246.199025562 85.449797612 8.946823413 0.005978523 0.000625967
246.296636188 91.997076382 8.869325139 0.006436606 0.000620545
246.394246813 98.128997951 5.196625658 0.006865628 0.000363584
246.481011813 112.446069699 6.666605841 0.007867326 0.000466431
246.578622439 117.826512405 4.698023228 0.008243771 0.000328699
246.654541814 135.080891604 6.181238838 0.009450979 0.000432472
246.741306814 155.303443895 11.988476938 0.010865857 0.000838778
246.817226190 139.733213788 20.980540179 0.009776480 0.001467910
246.893145565 142.162894897 11.311029537 0.009946474 0.000791380
246.958219315 166.351364112 15.372144061 0.011638828 0.001075517
247.034138691 163.342333644 19.741671668 0.011428300 0.001381233
