# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
98.617000000 -0.094528304 3.355826192 -0.000006614 0.000234791
98.627845625 0.620515492 1.351781473 0.000043415 0.000094578
98.638691250 3.949844580 5.779816354 0.000276352 0.000404387
98.649536875 -0.775587804 3.148172154 -0.000054264 0.000220263
98.660382500 -4.407022441 5.876288028 -0.000308339 0.000411136
98.671228125 -3.076007252 3.949818040 -0.000215214 0.000276350
98.682073750 -2.116691121 1.892609633 -0.000148095 0.000132417
98.692919375 -1.530363343 4.327111508 -0.000107072 0.000302748
98.703765000 -1.529472128 0.506048482 -0.000107010 0.000035406
98.714610625 0.330473368 3.435645238 0.000023122 0.000240376
98.725456250 1.354345453 4.455536618 0.000094757 0.000311733
98.736301875 0.022420785 3.885670421 0.000001569 0.000271862
98.747147501 -1.124105324 3.399299754 -0.000078648 0.000237833
98.757993126 -1.418159580 2.512226444 -0.000099222 0.000175769
98.768838751 -0.086429809 3.720238620 -0.000006047 0.000260288
98.779684376 -0.603420639 3.977477685 -0.000042219 0.000278286
98.790530001 -1.417494878 3.352619897 -0.000099175 0.000234567
98.801375626 -2.083398524 1.939924974 -0.000145766 0.000135727
98.812221251 -1.459849407 2.243087722 -0.000102139 0.000156938
98.823066876 -0.426147444 2.796377896 -0.000029816 0.000195650
98.833912501 0.905993420 2.463243590 0.000063388 0.000172342
98.844758126 -0.516952685 2.247369950 -0.000036169 0.000157238
98.855603751 -1.863662970 2.888418968 -0.000130392 0.000202089
98.866449376 -1.863663070 3.319021481 -0.000130392 0.000232216
98.877295001 -2.046529861 1.816063218 -0.000143186 0.000127061
98.888140626 -1.333953849 1.026668683 -0.000093331 0.000071831
98.898986251 1.329122606 2.904240740 0.000092993 0.000203196
98.909831876 0.889891419 2.316630707 0.000062262 0.000162084
98.920677501 -0.361917720 1.172578862 -0.000025322 0.000082040
98.931523126 -1.916067988 4.514881007 -0.000134058 0.000315885
98.942368751 -0.377396297 4.006021210 -0.000026405 0.000280283
98.953214376 0.145427311 1.933951365 0.000010175 0.000135310
98.964060001 -2.962364458 3.804377996 -0.000207263 0.000266175
98.974905626 -1.533619384 1.980052602 -0.000107300 0.000138535
98.985751251 -0.004097944 1.440272659 -0.000000287 0.000100769
98.996596876 -0.448182208 2.224917294 -0.000031357 0.000155667
99.007442502 -0.711453430 2.316717134 -0.000049777 0.000162090
99.018288127 -0.933409020 3.003306374 -0.000065306 0.000210127
99.029133752 -1.155832111 5.789732986 -0.000080868 0.000405081
99.039979377 -2.099650489 4.010223975 -0.000146903 0.000280577
99.050825002 -2.031391049 2.338579935 -0.000142127 0.000163620
99.061670627 0.631384332 3.098710191 0.000044175 0.000216802
99.072516252 -1.744617725 3.015057175 -0.000122063 0.000210949
99.083361877 -3.096815507 3.343602449 -0.000216670 0.000233936
99.094207502 0.454436773 2.683190435 0.000031795 0.000187730
99.105053127 1.675044690 2.084122249 0.000117195 0.000145816
99.115898752 1.726240948 4.671180714 0.000120777 0.000326821
99.126744377 0.393410823 2.915858211 0.000027525 0.000204009
99.137590002 -0.580085559 3.167665317 -0.000040586 0.000221627
99.148435627 -0.517668858 1.690244879 -0.000036219 0.000118259
99.159281252 1.701126944 2.161769262 0.000119020 0.000151249
99.170126877 -1.080940447 0.699242727 -0.000075628 0.000048923
99.180972502 -3.323708915 1.557527922 -0.000232544 0.000108973
99.191818127 -1.547961734 2.904764546 -0.000108304 0.000203233
99.202663752 -2.979443462 1.712494488 -0.000208458 0.000119815
99.213509377 -4.262481324 1.072692653 -0.000298226 0.000075051
99.224355002 -3.373603492 3.697503588 -0.000236035 0.000258697
99.235200627 -2.307818512 5.064443787 -0.000161467 0.000354335
99.246046252 -1.463663850 5.198054301 -0.000102406 0.000363684
99.256891877 -1.241834444 3.023594293 -0.000086885 0.000211547
99.267737503 -1.729088386 1.096579537 -0.000120976 0.000076723
99.278583128 -1.667178565 1.976197426 -0.000116645 0.000138265
99.289428753 0.108689311 1.065179082 0.000007604 0.000074526
99.300274378 0.469803048 2.541258570 0.000032870 0.000177800
99.311120003 0.798613636 3.241416821 0.000055875 0.000226787
99.321965628 1.905929954 2.091571187 0.000133349 0.000146337
99.332811253 -3.516179423 1.577328102 -0.000246011 0.000110358
99.343656878 -6.957012726 2.605324901 -0.000486750 0.000182282
99.354502503 -1.629993793 5.117851034 -0.000114043 0.000358072
99.365348128 2.819464892 1.462572261 0.000197265 0.000102329
99.376193753 4.109978721 5.911165474 0.000287556 0.000413577
99.387039378 -1.659955333 2.138860531 -0.000116139 0.000149646
99.397885003 -3.390713359 2.811690631 -0.000237232 0.000196721
99.408730628 -2.116541731 3.408377433 -0.000148085 0.000238468
99.419576253 3.880237911 4.764492535 0.000271482 0.000333349
99.430421878 2.502216077 1.754030604 0.000175068 0.000122721
99.441267503 -0.057085633 2.059687637 -0.000003994 0.000144107
99.452113128 -0.723548078 5.124713788 -0.000050623 0.000358552
99.462958753 -2.089933513 1.906681880 -0.000146223 0.000133402
99.473804378 -2.044357127 4.200961128 -0.000143034 0.000293922
99.484650003 1.952356235 2.442192227 0.000136597 0.000170869
99.495495628 1.752678905 1.376555626 0.000122627 0.000096311
99.506341253 0.101719359 0.320129207 0.000007117 0.000022398
99.517186878 -2.339657408 3.448748739 -0.000163695 0.000241293
99.528032504 0.978264014 1.829796548 0.000068445 0.000128022
99.538878129 3.075549035 1.011785887 0.000215182 0.000070790
99.549723754 -1.811549159 2.581637103 -0.000126746 0.000180625
99.560569379 -4.606684661 0.255397781 -0.000322308 0.000017869
99.571415004 -5.311682542 2.072223182 -0.000371634 0.000144984
99.582260629 -2.203005796 0.550258537 -0.000154134 0.000038499
99.593106254 -0.658828086 0.259329012 -0.000046095 0.000018144
99.603951879 1.080651078 0.672943066 0.000075608 0.000047083
99.614797504 4.411939621 2.109008556 0.000308683 0.000147557
99.625643129 1.137937706 2.311060583 0.000079616 0.000161694
99.636488754 -2.342306584 1.928403676 -0.000163880 0.000134921
99.647334379 -1.676192157 1.397679545 -0.000117275 0.000097789
99.658180004 -1.356823000 2.803234175 -0.000094931 0.000196129
99.669025629 -1.196996144 3.939600547 -0.000083748 0.000275635
99.679871254 -1.196796144 0.455797627 -0.000083734 0.000031890
99.690716879 0.535386221 1.583266573 0.000037458 0.000110774
99.701562504 1.266160676 3.494406389 0.000088587 0.000244487
99.712408129 -1.842159676 5.155272060 -0.000128887 0.000360690
99.723253754 -1.145328842 4.227211746 -0.000080133 0.000295758
99.734099379 0.136263650 1.334751339 0.000009534 0.000093386
99.744945004 0.136735450 5.886610502 0.000009567 0.000411859
99.755790629 1.000553757 3.630077975 0.000070004 0.000253980
99.766636254 0.322528921 1.673910493 0.000022566 0.000117116
99.777481879 -5.012273629 4.882793332 -0.000350685 0.000341626
99.788327505 -4.296481835 4.731187305 -0.000300605 0.000331019
99.799173130 -2.160314631 2.954489969 -0.000151147 0.000206712
99.810018755 -0.828086418 3.550989974 -0.000057937 0.000248446
99.820864380 -0.875446212 1.600456520 -0.000061251 0.000111976
99.831710005 -1.995024214 1.074741518 -0.000139583 0.000075195
99.842555630 -4.881922370 1.668999873 -0.000341565 0.000116772
99.853401255 -3.634308075 2.763643584 -0.000254276 0.000193359
99.864246880 -2.353606555 2.230389766 -0.000164671 0.000156050
99.875092505 -4.130102069 4.422534965 -0.000288964 0.000309424
99.885938130 -0.396014655 2.433572407 -0.000027707 0.000170266
99.896783755 2.123886752 1.690469019 0.000148598 0.000118274
99.907629380 -2.761522791 3.712532707 -0.000193211 0.000259749
99.918475005 -1.971240524 2.496399823 -0.000137918 0.000174661
99.929320630 0.046719859 6.434662604 0.000003269 0.000450203
99.940166255 0.935473217 1.262127499 0.000065451 0.000088305
99.951011880 -1.788096538 2.074105495 -0.000125105 0.000145115
99.961857505 -3.374282032 3.500868898 -0.000236083 0.000244939
99.972703130 0.843089303 2.050493070 0.000058987 0.000143463
99.983548755 -0.087475156 3.419591764 -0.000006120 0.000239253
99.994394380 -1.133961869 3.660370568 -0.000079338 0.000256099
100.005240005 1.531388541 1.713358058 0.000107144 0.000119876
100.016085630 -0.611747601 4.838605497 -0.000042801 0.000338535
100.026931255 -3.622083602 6.586368433 -0.000253420 0.000460817
100.037776880 -5.176232259 2.187493154 -0.000362157 0.000153049
100.048622506 -2.269145466 0.749528037 -0.000158762 0.000052441
100.059468131 0.499332046 1.901473297 0.000034936 0.000133037
100.070313756 -0.610261066 5.052501440 -0.000042697 0.000353500
100.081159381 -1.206998609 1.637674522 -0.000084448 0.000114580
100.092005006 -1.287985623 1.363001514 -0.000090114 0.000095363
100.102850631 -0.399428717 4.063587388 -0.000027946 0.000284310
100.113696256 -2.084263700 3.309122494 -0.000145826 0.000231524
100.124541881 -4.467024372 1.906874348 -0.000312537 0.000133415
100.135387506 -6.689556218 5.475278850 -0.000468037 0.000383080
100.146233131 -2.567476363 2.195247987 -0.000179634 0.000153591
100.157078756 2.225620409 1.313775831 0.000155716 0.000091919
100.167924381 3.780463903 1.139624269 0.000264501 0.000079734
100.178770006 3.107346524 2.369606633 0.000217407 0.000165790
100.189615631 1.291209792 1.986277792 0.000090340 0.000138971
100.200461256 -1.821477955 2.123414695 -0.000127440 0.000148565
100.211306881 -0.644037033 0.857027241 -0.000045060 0.000059962
100.222152506 1.496995417 2.021942562 0.000104738 0.000141466
100.232998131 2.831716276 1.731151554 0.000198122 0.000121121
100.243843756 0.564689630 0.777587282 0.000039509 0.000054404
100.254689381 -1.440395530 0.721326132 -0.000100778 0.000050468
100.265535006 0.114708185 2.503820796 0.000008026 0.000175181
100.276380631 -2.103565572 2.835534736 -0.000147177 0.000198389
100.287226256 -3.442879184 3.230600713 -0.000240882 0.000226030
100.298071881 0.556378646 0.498488894 0.000038927 0.000034877
100.308917507 -1.789470308 2.000771699 -0.000125201 0.000139985
100.319763132 -4.619940921 3.365734617 -0.000323236 0.000235485
100.330608757 -3.732793959 1.043489616 -0.000261166 0.000073008
100.341454382 1.445018942 3.262689641 0.000101101 0.000228275
100.352300007 4.379613697 5.450515702 0.000306421 0.000381347
100.363145632 -2.064239685 1.061049556 -0.000144425 0.000074237
100.373991257 -3.015050485 3.151475740 -0.000210949 0.000220494
100.384836882 -2.772968104 3.767618629 -0.000194012 0.000263603
100.395682507 -3.661228281 2.527648289 -0.000256159 0.000176848
100.406528132 -2.662017751 2.916770177 -0.000186249 0.000204073
100.417373757 -0.985818709 5.422159569 -0.000068973 0.000379363
100.428219382 1.015512274 5.857194600 0.000071051 0.000409801
100.439065007 0.267538396 4.385709165 0.000018718 0.000306848
100.449910632 -1.045809747 2.375999852 -0.000073170 0.000166238
100.460756257 -1.712226052 3.745543438 -0.000119796 0.000262058
100.471601882 -1.519875254 4.052625649 -0.000106339 0.000283543
100.482447507 -1.318693178 3.360872635 -0.000092263 0.000235145
100.493293132 -1.763453009 2.003118496 -0.000123381 0.000140149
100.504138757 -2.035758762 2.181690050 -0.000142433 0.000152643
100.514984382 -1.220662683 2.854585266 -0.000085404 0.000199722
100.525830007 2.336407973 1.865423373 0.000163468 0.000130515
100.536675632 -0.307020608 2.555863950 -0.000021481 0.000178822
100.547521257 -2.857491236 1.019651269 -0.000199925 0.000071340
100.558366882 -0.413797917 4.547885236 -0.000028952 0.000318194
100.569212508 -2.965696017 4.381158896 -0.000207496 0.000306529
100.580058133 -4.516214562 4.273827018 -0.000315978 0.000299020
100.590903758 0.370748006 1.113077065 0.000025940 0.000077877
100.601749383 2.676971337 3.620847702 0.000187295 0.000253334
100.612595008 2.696246817 5.669953261 0.000188644 0.000396700
100.623440633 -1.304024301 2.879164444 -0.000091236 0.000201442
100.634286258 -4.440492607 0.547755238 -0.000310681 0.000038324
100.645131883 -5.113099037 0.806634010 -0.000357740 0.000056436
100.655977508 -0.003210144 1.146495937 -0.000000225 0.000080215
100.666823133 -2.320988259 4.089785929 -0.000162389 0.000286143
100.677668758 -4.478961599 6.323053529 -0.000313372 0.000442395
100.688514383 -0.702238317 3.094269947 -0.000049132 0.000216492
100.699360008 -0.382677300 4.294015737 -0.000026774 0.000300432
100.710205633 -1.235042902 4.371057218 -0.000086410 0.000305822
100.721051258 -2.569321501 1.760567522 -0.000179763 0.000123179
100.731896883 -1.304731274 1.806938338 -0.000091286 0.000126423
100.742742508 -0.299454085 1.315990539 -0.000020951 0.000092074
100.753588133 -1.855473474 2.232968384 -0.000129819 0.000156230
100.764433758 -2.544291161 2.651904277 -0.000178012 0.000185541
100.775279383 -3.363256969 4.057258689 -0.000235311 0.000283867
100.786125008 -5.141133551 2.707767554 -0.000359701 0.000189450
100.796970633 -3.966456606 2.265372288 -0.000277514 0.000158498
100.807816258 -2.781561144 2.309672048 -0.000194613 0.000161597
100.818661883 -3.670543903 1.535247909 -0.000256811 0.000107414
100.829507509 -3.341719076 2.250820615 -0.000233804 0.000157479
100.840353134 -2.296478526 2.100089056 -0.000160674 0.000146933
100.851198759 -0.295745907 2.173165367 -0.000020692 0.000152046
100.862044384 0.136183841 1.141397962 0.000009528 0.000079858
100.872890009 -0.242905304 2.244284937 -0.000016995 0.000157022
100.883735634 -1.576444841 6.310543559 -0.000110296 0.000441519
100.894581259 -2.212729463 4.336484053 -0.000154814 0.000303404
100.905426884 -2.657117001 1.829859768 -0.000185906 0.000128027
100.916272509 -3.101374519 4.170014691 -0.000216989 0.000291756
100.927118134 -0.400021703 2.416202605 -0.000027988 0.000169050
100.937963759 1.369038328 1.780261999 0.000095785 0.000124557
100.948809384 -1.297848358 3.355185230 -0.000090804 0.000234747
100.959655009 -0.812176885 2.894640347 -0.000056824 0.000202524
100.970500634 0.264593198 4.093728899 0.000018512 0.000286419
100.981346259 0.709136630 3.349030693 0.000049615 0.000234316
100.992191884 -1.127816250 3.873217440 -0.000078908 0.000270991
101.003037509 -3.121293812 3.177192126 -0.000218382 0.000222293
101.013883134 -4.011476652 2.089021626 -0.000280664 0.000146159
101.024728759 -4.548579226 3.691391081 -0.000318243 0.000258269
101.035574384 -3.696135842 6.272365962 -0.000258601 0.000438848
101.046420009 0.304462499 4.356280883 0.000021302 0.000304789
101.057265634 -0.273016285 2.276198095 -0.000019102 0.000159255
101.068111259 -0.487039868 1.208965031 -0.000034076 0.000084586
101.078956884 3.069549158 2.330834491 0.000214762 0.000163078
101.089802510 0.977609209 1.160642430 0.000068399 0.000081205
101.100648135 -0.742991827 1.593867761 -0.000051984 0.000111515
101.111493760 1.924485652 3.614334886 0.000134647 0.000252878
101.122339385 1.407883907 0.650691220 0.000098503 0.000045526
101.133185010 1.064539080 2.900106190 0.000074481 0.000202907
101.144030635 3.064654996 0.948993706 0.000214420 0.000066397
101.154876260 -0.431403214 1.191695351 -0.000030183 0.000083377
101.165721885 -2.534872544 1.921599234 -0.000177353 0.000134445
101.176567510 1.911166152 2.702178185 0.000133715 0.000189059
101.187413135 1.558205662 2.658011089 0.000109020 0.000185969
101.198258760 0.469794710 2.458682191 0.000032869 0.000172023
101.209104385 0.468806253 2.131284369 0.000032800 0.000149116
101.219950010 -1.668614985 2.608101840 -0.000116745 0.000182477
101.230795635 -2.385712124 0.569179692 -0.000166917 0.000039823
101.241641260 1.392319686 5.558939036 0.000097414 0.000388933
101.252486885 -1.970437590 4.439375404 -0.000137862 0.000310602
101.263332510 -4.176861324 3.132197496 -0.000292235 0.000219145
101.274178135 0.267916521 3.805719736 0.000018745 0.000266268
101.285023760 2.568564602 2.676650583 0.000179710 0.000187273
101.295869385 3.122363042 1.339540652 0.000218457 0.000093721
101.306715010 0.897556081 2.444641980 0.000062798 0.000171040
101.317560635 0.469646340 2.809472647 0.000032859 0.000196566
101.328406260 0.057345682 2.016331166 0.000004012 0.000141073
101.339251885 -1.276554705 1.180900486 -0.000089315 0.000082622
101.350097511 -3.149673971 0.696349059 -0.000220368 0.000048720
